frame,image_path,track_id,xtl,ytl,xbr,ybr,label,dresscodestyle,location,fashionpersonality,judgmentcalls,age,weight,gender,disability,distracted,crossed,relativeposition
322,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00322.jpg,V1_5,1137.6,555.8,1190.04,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
323,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00323.jpg,V1_5,1138.71,555.8,1191.15,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
324,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00324.jpg,V1_5,1139.82,555.8,1192.26,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
325,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00325.jpg,V1_5,1140.92,555.8,1193.36,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
326,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00326.jpg,V1_5,1142.03,555.8,1194.47,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
327,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00327.jpg,V1_5,1143.14,555.8,1195.58,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
328,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00328.jpg,V1_5,1144.25,555.8,1196.69,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
329,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00329.jpg,V1_5,1145.36,555.8,1197.8,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
330,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00330.jpg,V1_5,1146.47,555.8,1198.9,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
331,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00331.jpg,V1_5,1147.57,555.8,1200.01,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
332,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00332.jpg,V1_5,1148.68,555.8,1201.12,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
333,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00333.jpg,V1_5,1149.79,555.8,1202.23,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
334,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00334.jpg,V1_5,1150.9,555.8,1203.34,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
335,/content/drive/mydrive/giu.master/version 3/frames/v2/frame_00335.jpg,V1_5,1152.01,555.8,1204.45,647.65,crossing,casual,notonsidewalk,minimalist,handsignal,senior,normalweight,male,False,yes,waited,near
