frame,image_path,track_id,xtl,ytl,xbr,ybr,label,dressCodeStyle,location,fashionPersonality,judgmentCalls,age,weight,gender,disability,Distracted,Crossed,relativePosition
322,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V2/frame_00322.jpg,5,1137.6,555.8,1190.04,647.65,Crossing,Casual,notOnSidewalk,Minimalist,HandSignal,Senior,NormalWeight,male,false,yes,Waited,near
323,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V2/frame_00323.jpg,5,1138.71,555.8,1191.15,647.65,Crossing,Casual,notOnSidewalk,Minimalist,HandSignal,Senior,NormalWeight,male,false,yes,Waited,near
324,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V2/frame_00324.jpg,5,1139.82,555.8,1192.26,647.65,Crossing,Casual,notOnSidewalk,Minimalist,HandSignal,Senior,NormalWeight,male,false,yes,Waited,near
325,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V2/frame_00325.jpg,5,1140.92,555.8,1193.36,647.65,Crossing,Casual,notOnSidewalk,Minimalist,HandSignal,Senior,NormalWeight,male,false,yes,Waited,near
326,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V2/frame_00326.jpg,5,1142.03,555.8,1194.47,647.65,Crossing,Casual,notOnSidewalk,Minimalist,HandSignal,Senior,NormalWeight,male,false,yes,Waited,near
327,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V2/frame_00327.jpg,5,1143.14,555.8,1195.58,647.65,Crossing,Casual,notOnSidewalk,Minimalist,HandSignal,Senior,NormalWeight,male,false,yes,Waited,near
328,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V2/frame_00328.jpg,5,1144.25,555.8,1196.69,647.65,Crossing,Casual,notOnSidewalk,Minimalist,HandSignal,Senior,NormalWeight,male,false,yes,Waited,near
329,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V2/frame_00329.jpg,5,1145.36,555.8,1197.8,647.65,Crossing,Casual,notOnSidewalk,Minimalist,HandSignal,Senior,NormalWeight,male,false,yes,Waited,near
330,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V2/frame_00330.jpg,5,1146.47,555.8,1198.9,647.65,Crossing,Casual,notOnSidewalk,Minimalist,HandSignal,Senior,NormalWeight,male,false,yes,Waited,near
331,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V2/frame_00331.jpg,5,1147.57,555.8,1200.01,647.65,Crossing,Casual,notOnSidewalk,Minimalist,HandSignal,Senior,NormalWeight,male,false,yes,Waited,near
