frame,image_path,track_id,xtl,ytl,xbr,ybr,label,Crossing,location,fashionPersonality,judgmentCalls,age,weight,gender,disability,Distracted,Crossed,relativePosition
80,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00080.jpg,0,994.22,635.77,1034.49,729.01,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
81,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00081.jpg,0,996.81,636.29,1037.08,729.52,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
82,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00082.jpg,0,999.4,636.81,1039.67,730.04,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
83,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00083.jpg,0,1001.99,637.32,1042.26,730.56,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
84,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00084.jpg,0,1004.58,637.84,1044.85,731.08,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
85,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00085.jpg,0,1007.17,638.36,1047.44,731.6,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
86,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00086.jpg,0,1009.76,638.88,1050.03,732.11,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
87,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00087.jpg,0,1012.35,639.4,1052.62,732.63,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
88,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00088.jpg,0,1014.94,639.91,1055.21,733.15,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
89,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00089.jpg,0,1017.53,640.43,1057.8,733.67,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
90,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00090.jpg,0,1020.12,640.95,1060.39,734.19,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
91,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00091.jpg,0,1022.71,641.47,1062.98,734.7,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
92,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00092.jpg,0,1025.3,641.99,1065.57,735.22,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
93,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00093.jpg,0,1027.89,642.5,1068.16,735.74,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
94,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00094.jpg,0,1030.48,643.02,1070.75,736.26,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
95,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00095.jpg,0,1033.07,643.54,1073.34,736.78,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
96,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00096.jpg,0,1035.3,643.54,1075.58,736.78,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
97,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00097.jpg,0,1037.54,643.54,1077.81,736.78,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
98,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00098.jpg,0,1039.78,643.54,1080.05,736.78,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
99,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00099.jpg,0,1042.01,643.54,1082.29,736.78,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
100,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00100.jpg,0,1044.25,643.54,1084.52,736.78,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
101,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00101.jpg,0,1046.49,643.54,1086.76,736.78,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
102,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00102.jpg,0,1048.72,643.54,1089.0,736.78,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
103,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00103.jpg,0,1050.96,643.54,1091.23,736.78,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
104,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00104.jpg,0,1053.2,643.54,1093.47,736.78,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
105,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00105.jpg,0,1055.43,643.54,1095.71,736.78,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
106,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00106.jpg,0,1057.67,643.54,1097.94,736.78,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
107,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00107.jpg,0,1060.52,644.4,1100.79,737.64,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
108,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00108.jpg,0,1063.37,645.27,1103.64,738.5,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
109,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00109.jpg,0,1066.22,646.13,1106.49,739.37,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
110,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00110.jpg,0,1069.07,646.99,1109.34,740.23,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
111,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00111.jpg,0,1071.91,647.86,1112.19,741.09,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
112,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00112.jpg,0,1074.76,648.72,1115.04,741.96,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
113,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00113.jpg,0,1077.61,649.58,1117.89,742.82,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
114,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00114.jpg,0,1080.46,650.45,1120.73,743.68,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
115,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00115.jpg,0,1083.31,651.31,1123.58,744.55,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
116,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00116.jpg,0,1086.16,652.17,1126.43,745.41,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
117,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00117.jpg,0,1089.01,653.04,1129.28,746.27,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
118,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00118.jpg,0,1091.86,653.9,1132.13,747.14,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
119,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00119.jpg,0,1094.71,654.76,1134.98,748.0,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
120,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00120.jpg,0,1097.56,655.63,1137.83,748.86,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
121,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00121.jpg,0,1100.4,656.49,1140.68,749.73,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
123,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00123.jpg,0,1100.4,656.49,1140.68,749.73,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
124,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_00124.jpg,0,1100.4,656.49,1140.68,749.73,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1047,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01047.jpg,5,1039.67,650.01,1068.16,713.47,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1048,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01048.jpg,5,1040.82,650.3,1069.31,713.76,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1049,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01049.jpg,5,1041.97,650.59,1070.46,714.04,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1050,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01050.jpg,5,1043.12,650.88,1071.61,714.33,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1051,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01051.jpg,5,1044.27,651.17,1072.76,714.62,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1052,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01052.jpg,5,1045.42,651.45,1073.91,714.91,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1053,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01053.jpg,5,1046.58,651.74,1075.06,715.19,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1054,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01054.jpg,5,1047.73,652.03,1076.22,715.48,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1055,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01055.jpg,5,1048.88,652.32,1077.37,715.77,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1056,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01056.jpg,5,1050.03,652.6,1078.52,716.06,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1057,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01057.jpg,5,1051.18,652.89,1079.67,716.35,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1058,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01058.jpg,5,1052.33,653.18,1080.82,716.63,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1059,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01059.jpg,5,1053.48,653.47,1081.97,716.92,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1060,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01060.jpg,5,1054.63,653.76,1083.12,717.21,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1061,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01061.jpg,5,1055.78,654.04,1084.27,717.5,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1062,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01062.jpg,5,1056.94,654.33,1085.42,717.78,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1063,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01063.jpg,5,1058.09,654.62,1086.58,718.07,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1064,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01064.jpg,5,1059.24,654.91,1087.73,718.36,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1065,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01065.jpg,5,1060.39,655.19,1088.88,718.65,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1066,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01066.jpg,5,1060.39,655.19,1088.88,718.65,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1067,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01067.jpg,5,1060.39,655.19,1088.88,718.65,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1068,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01068.jpg,5,1060.39,655.19,1088.88,718.65,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1069,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01069.jpg,5,1060.39,655.19,1088.88,718.65,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,near
1107,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01107.jpg,6,1068.16,651.31,1110.89,736.78,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1108,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01108.jpg,6,1066.35,650.9,1110.21,737.49,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1109,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01109.jpg,6,1064.55,650.49,1109.53,738.21,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1110,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01110.jpg,6,1062.74,650.08,1108.85,738.93,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1111,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01111.jpg,6,1060.93,649.67,1108.17,739.64,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1112,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01112.jpg,6,1059.13,649.26,1107.49,740.36,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1113,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01113.jpg,6,1057.32,648.86,1106.8,741.08,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1114,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01114.jpg,6,1055.52,648.45,1106.12,741.79,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1115,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01115.jpg,6,1053.71,648.04,1105.44,742.51,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1116,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01116.jpg,6,1051.9,647.63,1104.76,743.22,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1117,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01117.jpg,6,1050.1,647.22,1104.08,743.94,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1118,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01118.jpg,6,1048.29,646.81,1103.4,744.66,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1119,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01119.jpg,6,1046.48,646.4,1102.72,745.37,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1120,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01120.jpg,6,1044.68,645.99,1102.03,746.09,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1121,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01121.jpg,6,1042.87,645.58,1101.35,746.81,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1122,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01122.jpg,6,1041.07,645.18,1100.67,747.52,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1123,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01123.jpg,6,1039.26,644.77,1099.99,748.24,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1124,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01124.jpg,6,1037.45,644.36,1099.31,748.96,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1125,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01125.jpg,6,1035.65,643.95,1098.63,749.67,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1126,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01126.jpg,6,1033.84,643.54,1097.95,750.39,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1127,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01127.jpg,6,1032.04,643.13,1097.26,751.1,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1128,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01128.jpg,6,1030.23,642.72,1096.58,751.82,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1129,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01129.jpg,6,1028.42,642.31,1095.9,752.54,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1130,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01130.jpg,6,1026.62,641.9,1095.22,753.25,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1131,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01131.jpg,6,1024.81,641.5,1094.54,753.97,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1132,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01132.jpg,6,1023.01,641.09,1093.86,754.69,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1133,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01133.jpg,6,1021.2,640.68,1093.18,755.4,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1134,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01134.jpg,6,1019.39,640.27,1092.5,756.12,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1135,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01135.jpg,6,1017.59,639.86,1091.81,756.84,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1136,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01136.jpg,6,1015.78,639.45,1091.13,757.55,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1137,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01137.jpg,6,1013.97,639.04,1090.45,758.27,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
1138,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V3/frame_01138.jpg,6,1012.17,638.63,1089.77,758.99,Crossing,Casual,notOnSidewalk,Extravagant,NoHandSignal,adult,NormalWeight,male,False,no,Crossed,middle
