frame,image_path,track_id,xtl,ytl,xbr,ybr,label,dressCodeStyle,Location,FashionPersonality,JudgmentCalls,Age,Weight,Gender,Disability,Distracted,Crossed,RelativePosition
502,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V4/frame_00502.jpg,7,1975.03,1203.9,2101.15,1492.81,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,Adult,NormalWeight,Male,False,No,Waited,Near
503,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V4/frame_00503.jpg,7,1979.7,1205.0,2105.81,1493.92,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,Adult,NormalWeight,Male,False,No,Waited,Near
504,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V4/frame_00504.jpg,7,1984.36,1206.11,2110.48,1495.03,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,Adult,NormalWeight,Male,False,No,Waited,Near
505,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V4/frame_00505.jpg,7,1989.03,1207.22,2115.14,1496.14,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,Adult,NormalWeight,Male,False,No,Waited,Near
506,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V4/frame_00506.jpg,7,1993.69,1208.33,2119.81,1497.24,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,Adult,NormalWeight,Male,False,No,Waited,Near
507,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V4/frame_00507.jpg,7,1998.36,1209.43,2124.47,1498.35,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,Adult,NormalWeight,Male,False,No,Waited,Near
508,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V4/frame_00508.jpg,7,2003.02,1210.54,2129.14,1499.46,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,Adult,NormalWeight,Male,False,No,Waited,Near
509,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V4/frame_00509.jpg,7,2007.69,1211.65,2133.8,1500.56,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,Adult,NormalWeight,Male,False,No,Waited,Near
510,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V4/frame_00510.jpg,7,2012.35,1212.75,2138.47,1501.67,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,Adult,NormalWeight,Male,False,No,Waited,Near
511,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V4/frame_00511.jpg,7,2017.02,1213.86,2143.13,1502.78,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,Adult,NormalWeight,Male,False,No,Waited,Near
512,/content/drive/MyDrive/GIU.Master/Version 3/Frames/V4/frame_00512.jpg,7,2021.68,1214.97,2147.8,1503.88,Crossing,Casual,notOnSidewalk,Minimalist,NoHandSignal,Adult,NormalWeight,Male,False,No,Waited,Near
