frame,image_name,label,label_id,xtl,ytl,xbr,ybr,track_id
35,frame_00035.jpg,Standing,1,1853,1155,1963,1465,0
36,frame_00036.jpg,Standing,1,1858,1158,1968,1468,0
37,frame_00037.jpg,Standing,1,1863,1161,1973,1471,0
38,frame_00038.jpg,Standing,1,1868,1164,1978,1474,0
39,frame_00039.jpg,Standing,1,1872,1167,1983,1477,0
40,frame_00040.jpg,Standing,1,1877,1170,1987,1480,0
41,frame_00041.jpg,Standing,1,1882,1173,1992,1482,0
42,frame_00042.jpg,Standing,1,1887,1176,1997,1485,0
43,frame_00043.jpg,Standing,1,1892,1179,2002,1488,0
44,frame_00044.jpg,Standing,1,1902,1182,2012,1491,0
45,frame_00045.jpg,Standing,1,1911,1185,2021,1494,0
46,frame_00046.jpg,Standing,1,1921,1188,2031,1497,0
47,frame_00047.jpg,Standing,1,1930,1191,2040,1500,0
48,frame_00048.jpg,Standing,1,1940,1194,2050,1503,0
49,frame_00049.jpg,Standing,1,1949,1197,2059,1506,0
50,frame_00050.jpg,Standing,1,1951,1197,2065,1515,0
51,frame_00051.jpg,Standing,1,1952,1197,2070,1524,0
52,frame_00052.jpg,Standing,1,1954,1197,2075,1532,0
53,frame_00053.jpg,Standing,1,1955,1197,2081,1541,0
54,frame_00054.jpg,Standing,1,1957,1197,2086,1550,0
55,frame_00055.jpg,Standing,1,1959,1197,2091,1559,0
56,frame_00056.jpg,Standing,1,1976,1189,2110,1556,0
57,frame_00057.jpg,Standing,1,1993,1181,2128,1553,0
58,frame_00058.jpg,Standing,1,2005,1178,2141,1556,0
59,frame_00059.jpg,Standing,1,2016,1176,2154,1558,0
60,frame_00060.jpg,Standing,1,2028,1173,2166,1561,0
61,frame_00061.jpg,Standing,1,2040,1171,2179,1564,0
62,frame_00062.jpg,Standing,1,2051,1168,2192,1566,0
63,frame_00063.jpg,Standing,1,2063,1166,2205,1569,0
64,frame_00064.jpg,Standing,1,2075,1163,2217,1572,0
65,frame_00065.jpg,Standing,1,2086,1161,2230,1574,0
66,frame_00066.jpg,Standing,1,2098,1158,2243,1577,0
67,frame_00067.jpg,Standing,1,2110,1156,2256,1580,0
68,frame_00068.jpg,Standing,1,2078,1158,2225,1586,0
69,frame_00069.jpg,Standing,1,2081,1159,2227,1588,0
70,frame_00070.jpg,Standing,1,2104,1160,2251,1589,0
71,frame_00071.jpg,Standing,1,2127,1161,2274,1590,0
72,frame_00072.jpg,Standing,1,2150,1163,2297,1591,0
73,frame_00073.jpg,Standing,1,2173,1164,2320,1593,0
74,frame_00074.jpg,Standing,1,2196,1165,2343,1594,0
75,frame_00075.jpg,Standing,1,2219,1166,2366,1595,0
76,frame_00076.jpg,Standing,1,2242,1168,2389,1596,0
77,frame_00077.jpg,Standing,1,2265,1169,2412,1598,0
78,frame_00078.jpg,Standing,1,2289,1170,2435,1599,0
35,frame_00035.jpg,Standing,1,1741,1158,1881,1469,1
36,frame_00036.jpg,Standing,1,1745,1159,1885,1471,1
37,frame_00037.jpg,Standing,1,1749,1160,1889,1472,1
38,frame_00038.jpg,Standing,1,1753,1161,1893,1473,1
39,frame_00039.jpg,Standing,1,1757,1162,1897,1474,1
40,frame_00040.jpg,Standing,1,1761,1164,1901,1476,1
41,frame_00041.jpg,Standing,1,1765,1165,1905,1477,1
42,frame_00042.jpg,Standing,1,1769,1166,1909,1478,1
43,frame_00043.jpg,Standing,1,1773,1167,1913,1479,1
44,frame_00044.jpg,Standing,1,1783,1170,1923,1482,1
45,frame_00045.jpg,Standing,1,1794,1173,1934,1484,1
46,frame_00046.jpg,Standing,1,1805,1175,1945,1487,1
47,frame_00047.jpg,Standing,1,1816,1178,1955,1489,1
48,frame_00048.jpg,Standing,1,1826,1180,1966,1492,1
49,frame_00049.jpg,Standing,1,1837,1183,1977,1495,1
50,frame_00050.jpg,Standing,1,1845,1183,1985,1495,1
51,frame_00051.jpg,Standing,1,1854,1183,1994,1495,1
52,frame_00052.jpg,Standing,1,1862,1183,2002,1495,1
53,frame_00053.jpg,Standing,1,1871,1183,2010,1495,1
54,frame_00054.jpg,Standing,1,1879,1183,2019,1495,1
55,frame_00055.jpg,Standing,1,1887,1183,2027,1495,1
56,frame_00056.jpg,Standing,1,1896,1184,2036,1496,1
57,frame_00057.jpg,Standing,1,1905,1185,2045,1497,1
58,frame_00058.jpg,Standing,1,1913,1186,2053,1498,1
43,frame_00043.jpg,Walking,0,2140,1219,2231,1479,2
44,frame_00044.jpg,Walking,0,2146,1219,2241,1483,2
45,frame_00045.jpg,Walking,0,2152,1219,2250,1488,2
46,frame_00046.jpg,Walking,0,2159,1219,2260,1492,2
47,frame_00047.jpg,Walking,0,2165,1219,2270,1497,2
48,frame_00048.jpg,Walking,0,2171,1219,2279,1501,2
49,frame_00049.jpg,Walking,0,2177,1219,2289,1506,2
50,frame_00050.jpg,Walking,0,2184,1219,2298,1511,2
51,frame_00051.jpg,Walking,0,2190,1219,2308,1515,2
52,frame_00052.jpg,Walking,0,2196,1219,2317,1520,2
53,frame_00053.jpg,Walking,0,2203,1219,2327,1524,2
54,frame_00054.jpg,Walking,0,2209,1219,2336,1529,2
55,frame_00055.jpg,Walking,0,2215,1219,2346,1534,2
56,frame_00056.jpg,Walking,0,2224,1219,2357,1538,2
57,frame_00057.jpg,Walking,0,2233,1219,2368,1542,2
58,frame_00058.jpg,Walking,0,2242,1219,2379,1546,2
59,frame_00059.jpg,Walking,0,2251,1219,2390,1550,2
60,frame_00060.jpg,Walking,0,2259,1219,2401,1554,2
61,frame_00061.jpg,Walking,0,2268,1219,2412,1558,2
62,frame_00062.jpg,Walking,0,2277,1219,2423,1562,2
63,frame_00063.jpg,Walking,0,2286,1219,2433,1566,2
64,frame_00064.jpg,Walking,0,2295,1219,2444,1570,2
65,frame_00065.jpg,Walking,0,2303,1219,2455,1574,2
66,frame_00066.jpg,Walking,0,2312,1219,2466,1578,2
68,frame_00068.jpg,Walking,0,2330,1219,2488,1586,2
69,frame_00069.jpg,Walking,0,2342,1222,2500,1589,2
70,frame_00070.jpg,Walking,0,2354,1225,2512,1592,2
71,frame_00071.jpg,Walking,0,2366,1228,2524,1595,2
72,frame_00072.jpg,Walking,0,2378,1231,2536,1598,2
73,frame_00073.jpg,Walking,0,2390,1233,2548,1600,2
74,frame_00074.jpg,Walking,0,2402,1236,2560,1603,2
75,frame_00075.jpg,Walking,0,2414,1239,2572,1606,2
76,frame_00076.jpg,Walking,0,2426,1242,2584,1609,2
77,frame_00077.jpg,Walking,0,2438,1245,2597,1612,2
78,frame_00078.jpg,Walking,0,2464,1245,2623,1612,2
43,frame_00043.jpg,Walking,0,2036,1213,2140,1499,3
44,frame_00044.jpg,Walking,0,2041,1213,2147,1502,3
45,frame_00045.jpg,Walking,0,2046,1213,2155,1506,3
46,frame_00046.jpg,Walking,0,2051,1213,2163,1509,3
47,frame_00047.jpg,Walking,0,2056,1213,2170,1512,3
48,frame_00048.jpg,Walking,0,2061,1213,2178,1515,3
49,frame_00049.jpg,Walking,0,2066,1213,2185,1519,3
50,frame_00050.jpg,Walking,0,2071,1213,2193,1522,3
51,frame_00051.jpg,Walking,0,2076,1213,2201,1525,3
52,frame_00052.jpg,Walking,0,2081,1213,2208,1528,3
53,frame_00053.jpg,Walking,0,2086,1213,2216,1532,3
54,frame_00054.jpg,Walking,0,2091,1213,2224,1535,3
55,frame_00055.jpg,Walking,0,2096,1213,2231,1538,3
56,frame_00056.jpg,Walking,0,2105,1212,2242,1541,3
57,frame_00057.jpg,Walking,0,2114,1212,2252,1544,3
58,frame_00058.jpg,Walking,0,2124,1212,2263,1547,3
59,frame_00059.jpg,Walking,0,2133,1212,2273,1550,3
60,frame_00060.jpg,Walking,0,2142,1212,2283,1553,3
61,frame_00061.jpg,Walking,0,2151,1212,2294,1556,3
62,frame_00062.jpg,Walking,0,2160,1211,2304,1559,3
63,frame_00063.jpg,Walking,0,2169,1211,2315,1562,3
64,frame_00064.jpg,Walking,0,2179,1211,2325,1565,3
65,frame_00065.jpg,Walking,0,2188,1211,2335,1568,3
66,frame_00066.jpg,Walking,0,2197,1211,2346,1571,3
68,frame_00068.jpg,Walking,0,2215,1210,2367,1577,3
69,frame_00069.jpg,Walking,0,2231,1210,2382,1577,3
70,frame_00070.jpg,Walking,0,2247,1210,2398,1577,3
71,frame_00071.jpg,Walking,0,2263,1209,2414,1576,3
72,frame_00072.jpg,Walking,0,2279,1209,2430,1576,3
73,frame_00073.jpg,Walking,0,2294,1209,2446,1575,3
74,frame_00074.jpg,Walking,0,2310,1208,2462,1575,3
75,frame_00075.jpg,Walking,0,2326,1208,2478,1575,3
76,frame_00076.jpg,Walking,0,2342,1208,2493,1574,3
77,frame_00077.jpg,Walking,0,2358,1207,2509,1574,3
78,frame_00078.jpg,Walking,0,2374,1211,2525,1578,3
68,frame_00068.jpg,Standing,1,2853,1192,3052,1596,4
69,frame_00069.jpg,Standing,1,2887,1194,3087,1598,4
70,frame_00070.jpg,Standing,1,2922,1197,3121,1601,4
71,frame_00071.jpg,Standing,1,2957,1199,3156,1603,4
72,frame_00072.jpg,Standing,1,2991,1202,3191,1606,4
73,frame_00073.jpg,Standing,1,3026,1204,3225,1608,4
74,frame_00074.jpg,Standing,1,3060,1207,3260,1611,4
75,frame_00075.jpg,Standing,1,3095,1209,3294,1613,4
76,frame_00076.jpg,Standing,1,3130,1212,3329,1616,4
79,frame_00079.jpg,Standing,1,2030,1213,2156,1490,5
80,frame_00080.jpg,Standing,1,2036,1213,2162,1490,5
81,frame_00081.jpg,Standing,1,2043,1213,2169,1490,5
82,frame_00082.jpg,Standing,1,2050,1213,2176,1490,5
83,frame_00083.jpg,Standing,1,2056,1213,2182,1491,5
84,frame_00084.jpg,Standing,1,2063,1213,2189,1491,5
85,frame_00085.jpg,Standing,1,2070,1213,2196,1491,5
86,frame_00086.jpg,Standing,1,2076,1214,2202,1491,5
87,frame_00087.jpg,Standing,1,2083,1214,2209,1491,5
88,frame_00088.jpg,Standing,1,2090,1214,2216,1491,5
89,frame_00089.jpg,Standing,1,2096,1214,2222,1491,5
90,frame_00090.jpg,Standing,1,2103,1214,2229,1492,5
91,frame_00091.jpg,Standing,1,2110,1214,2236,1492,5
92,frame_00092.jpg,Standing,1,2116,1214,2242,1492,5
93,frame_00093.jpg,Standing,1,2123,1215,2249,1492,5
94,frame_00094.jpg,Standing,1,2130,1215,2256,1492,5
95,frame_00095.jpg,Standing,1,2136,1215,2262,1492,5
96,frame_00096.jpg,Standing,1,2143,1215,2269,1492,5
97,frame_00097.jpg,Standing,1,2150,1215,2276,1493,5
98,frame_00098.jpg,Standing,1,2156,1215,2282,1493,5
99,frame_00099.jpg,Standing,1,2163,1215,2289,1493,5
100,frame_00100.jpg,Standing,1,2170,1215,2296,1493,5
101,frame_00101.jpg,Standing,1,2176,1216,2302,1493,5
102,frame_00102.jpg,Standing,1,2183,1216,2309,1493,5
