frame,image_path,track_id,xtl,ytl,xbr,ybr,label,dressCodeStyle,gender,Distracted,location,fashionPersonality,judgmentCalls,age,weight,disability,Crossed,relativePosition
17,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00017.jpg,0,1161.27,760.09,1271.47,950.45,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
18,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00018.jpg,0,1170.62,760.09,1280.82,950.45,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
19,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00019.jpg,0,1179.97,760.09,1290.17,950.45,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
20,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00020.jpg,0,1189.32,760.09,1299.52,950.45,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
21,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00021.jpg,0,1198.68,760.09,1308.88,950.45,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
22,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00022.jpg,0,1208.03,760.09,1318.23,950.45,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
23,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00023.jpg,0,1217.38,760.09,1327.58,950.45,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
24,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00024.jpg,0,1226.73,760.09,1336.93,950.45,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
25,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00025.jpg,0,1236.09,760.09,1346.29,950.45,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
26,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00026.jpg,0,1245.44,760.09,1355.64,950.45,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
27,/content/drive/MyDrive/GIU.Master/Version 5/Frames/V5/frame_00027.jpg,0,1258.28,760.63,1368.48,950.99,Crossing,Casual,male,no,notOnSidewalk,Minimalist,NoHandSignal,adult,NormalWeight,false,Crossed,near
